初始等级案由,次级案由,三级案由
确认劳动关系纠纷（含事实劳动关系、假外包真用工）,事实劳动关系认定纠纷,用人单位与劳动者未订立书面劳动合同，但劳动者接受管理、从事有报酬的劳动，且劳动是用人单位业务组成部分所引发的纠纷
确认劳动关系纠纷（含事实劳动关系、假外包真用工）, “假外包、真用工”情形下的劳动关系认定纠纷,用人单位以业务外包、承揽、合作等名义，行劳动用工之实，规避用人单位主体责任所引发的纠纷
确认劳动关系纠纷（含事实劳动关系、假外包真用工）,关联企业混同用工的劳动关系确认纠纷,劳动者在多家关联公司（如控股、母子公司、同一控制人）之间交叉轮换工作或接受管理，劳动关系主体不明确引发的纠纷
确认劳动关系纠纷（含事实劳动关系、假外包真用工）,超过法定退休年龄人员劳动关系确认纠纷,劳动者达到或超过法定退休年龄，但未享受基本养老保险待遇或领取退休金，继续在原单位或新单位工作，就是否构成劳动关系引发的纠纷
订立/续订书面劳动合同纠纷,未依法订立劳动合同的二倍工资差额支付纠纷,因用人单位原因导致未订立（入职起算）
订立/续订书面劳动合同纠纷,未依法订立劳动合同的二倍工资差额支付纠纷,因用人单位原因导致未续订（合同期满后起算）
订立/续订书面劳动合同纠纷,未依法订立劳动合同的二倍工资差额支付纠纷,因劳动者原因导致未订立/续订（用人单位已履行诚信磋商义务）
订立/续订书面劳动合同纠纷,劳动合同续订条件与程序纠纷,用人单位单方决定不续订的条件争议
订立/续订书面劳动合同纠纷,劳动合同续订条件与程序纠纷,续订无固定期限劳动合同条件成就争议
劳务派遣用工纠纷,劳务派遣法律关系确认纠纷,“假外包、真派遣”的认定
劳务派遣用工纠纷,劳务派遣法律关系确认纠纷,派遣单位与劳动者劳动关系确认
劳务派遣用工纠纷,派遣岗位合规性纠纷,违反“临时性、辅助性、替代性”岗位限制
劳务派遣用工纠纷,派遣岗位合规性纠纷,派遣用工比例超标
劳务派遣用工纠纷,劳动者权益保障纠纷,同工同酬待遇差额追索
劳务派遣用工纠纷,劳动者权益保障纠纷,社会保险缴纳基数/地域争议
劳务派遣用工纠纷,劳动者权益保障纠纷,工伤待遇赔偿责任主体争议
劳务派遣用工纠纷,派遣员工退回与解雇纠纷,用工单位违法退回争议
劳务派遣用工纠纷,派遣员工退回与解雇纠纷,派遣单位违法解除劳动合同争议
劳务派遣用工纠纷,连带责任纠纷,工资、经济补偿等给付义务的连带责任
劳务派遣用工纠纷,连带责任纠纷,工伤待遇的连带责任
非全日制用工纠纷,劳动关系性质认定纠纷,是否构成非全日制用工
非全日制用工纠纷,劳动报酬支付纠纷,加班费争议
非全日制用工纠纷,劳动报酬支付纠纷,工资结算周期争议
非全日制用工纠纷,工伤保险待遇纠纷,因工受伤的赔偿问题
非全日制用工纠纷,解除或终止争议,是否存在经济补偿等
集体合同订立与履行纠纷,集体协商程序争议,协商代表产生
集体合同订立与履行纠纷,集体协商程序争议,协商程序合法性
集体合同订立与履行纠纷,集体合同效力争议,内容合法性
集体合同订立与履行纠纷,集体合同效力争议,备案程序
集体合同订立与履行纠纷,集体合同履行争议,用人单位违反集体合同标准
集体合同订立与履行纠纷,专项集体合同争议,专项集体合同工资争议
集体合同订立与履行纠纷,专项集体合同争议,专项集体合同劳动安全卫生争议
集体合同订立与履行纠纷,专项集体合同争议,专项集体合同女职工保护争议
未签订劳动合同二倍工资纠纷,二倍工资支付责任的认定纠纷,因劳动者原因导致未签订的认定
未签订劳动合同二倍工资纠纷,二倍工资支付责任的认定纠纷,视为已签订劳动合同的认定（如具备劳动合同必备条款的入职文件）
未签订劳动合同二倍工资纠纷,二倍工资支付责任的认定纠纷,倒签/补签劳动合同后二倍工资的追索
未签订劳动合同二倍工资纠纷,二倍工资计算基数与期限纠纷,计算基数的确定（应得工资 vs. 实发工资）
未签订劳动合同二倍工资纠纷,二倍工资计算基数与期限纠纷,支付期限的计算（首月宽限期、满一年后的处理）
未签订劳动合同二倍工资纠纷,二倍工资仲裁时效纠纷,时效起算点的认定（逐月计算 vs. 整体计算）
未签订劳动合同二倍工资纠纷,二倍工资仲裁时效纠纷,时效中断、中止事由的审查
追索基本工资纠纷,工资标准确认纠纷,劳动合同约定标准与实际履行标准不一致的认定
追索基本工资纠纷,工资标准确认纠纷,无书面合同或约定不明时工资标准的确定（参照集体合同、同岗同酬、实际履行标准）
追索基本工资纠纷,工资标准确认纠纷,试用期工资低于法定标准的争议
追索基本工资纠纷,工资扣减与拖欠支付纠纷,因违纪、失职等原因扣减工资的合法性与合理性审查
追索基本工资纠纷,工资扣减与拖欠支付纠纷,因企业经营困难、绩效考核等非劳动者原因拖欠或降低工资的合法性审查
追索基本工资纠纷,工资扣减与拖欠支付纠纷,停工停产期间工资支付的争议
追索基本工资纠纷,工资支付计算纠纷,计薪天数与日工资、小时工资的计算标准（21.75天 vs. 当月计薪天数）
追索基本工资纠纷,工资支付计算纠纷,未足月工作（新入职、离职）的工资计算
追索基本工资纠纷,工资支付计算纠纷,综合计算工时制或不定时工作制下的基本工资保障
追索加班工资纠纷,加班事实认定纠纷,标准工时制下延长工作时间的认定（工作日、休息日、法定节假日）
追索加班工资纠纷,加班事实认定纠纷,综合计算工时制下加班（即延长工作时间）的认定
追索加班工资纠纷,加班事实认定纠纷,不定时工作制下是否支付加班费的争议
追索加班工资纠纷,加班事实认定纠纷,值班与加班的区分与认定
追索加班工资纠纷,加班工资计算基数纠纷,劳动合同有约定时，约定基数是否低于正常工作时间工资的审查
追索加班工资纠纷,加班工资计算基数纠纷,劳动合同无约定或约定不明时，基数如何确定（通常为劳动者正常工作时间的应得工资，扣除非常规性奖金、津贴等）
追索加班工资纠纷,加班工资计算基数纠纷,月薪制下日工资、小时工资的折算方法（21.75天/月计薪天数，8小时/日）
追索加班工资纠纷,特殊情形下的加班费争议,部分公民放假的节日（如妇女节、青年节）工作的待遇
追索加班工资纠纷,特殊情形下的加班费争议,实行包薪制（年薪制）是否包含加班费的争议
追索加班工资纠纷,特殊情形下的加班费争议,加班费仲裁时效（一年）的起算点争议
奖金/提成/绩效工资纠纷,支付条件成就争议,业绩目标/考核指标是否达成争议
奖金/提成/绩效工资纠纷,支付条件成就争议,支付前提（如在职、项目完结）是否满足争议
奖金/提成/绩效工资纠纷,计算标准与金额争议,提成比例/奖金基数约定不明争议
奖金/提成/绩效工资纠纷,计算标准与金额争议,计算方式（如回款到账、成本扣除）理解分歧争议
奖金/提成/绩效工资纠纷,规章制度/方案变更效力争议,单方降低或取消提成/奖金方案争议
奖金/提成/绩效工资纠纷,规章制度/方案变更效力争议,新方案是否具有溯及力争议
奖金/提成/绩效工资纠纷,离职后支付争议,离职后是否仍有权主张在职期间对应业绩的提成/奖金争议
津贴/补贴发放纠纷,高温津贴纠纷,
津贴/补贴发放纠纷,夜班津贴（中班、夜班津贴）纠纷,
津贴/补贴发放纠纷,岗位性津贴/补贴纠纷,井下、高空、有毒有害等特殊岗位津贴
津贴/补贴发放纠纷,岗位性津贴/补贴纠纷,交通、通讯、伙食等福利性补贴
津贴/补贴发放纠纷,其他法定或约定津贴/补贴纠纷,年功津贴、技术津贴等
未休带薪年休假工资报酬纠纷,未休年休假天数确认纠纷,劳动者累计工作年限的认定、当年度应休天数的计算、已休假天数的举证。
未休带薪年休假工资报酬纠纷,未休年休假工资计算基数纠纷,“职工本人工资”的范围界定，是否包含加班费、津贴补贴、非常规性奖金等
未休带薪年休假工资报酬纠纷,未休年休假工资支付责任主体纠纷,劳动关系跨年度存续、工作单位变更（非本人原因）情形下，支付责任的承担主体。
未休带薪年休假工资报酬纠纷,未休年休假工资仲裁时效纠纷,劳动者主张权利是否超过一年的仲裁时效，以及时效起算点的认定（通常为第三个年度的1月1日）
工时制度与休息休假安排纠纷,特殊工时制度（综合计算工时工作制、不定时工作制）适用合法性纠纷,岗位是否属于法定适用特殊工时的范围、是否经过劳动行政部门审批、审批程序是否合法有效
工时制度与休息休假安排纠纷,加班事实认定与加班费计算纠纷,加班时间的举证责任分配、考勤记录的证明力、加班审批制度的效力边界、加班费计算基数
工时制度与休息休假安排纠纷,强制加班或变相延长工作时间侵权纠纷,“自愿加班”的真实性认定、通过工作量设定或隐形文化迫使加班的事实认定、超时加班（违反每日/每月法定上限）的违法性认定
工时制度与休息休假安排纠纷,休息休假安排（调休、补休）合法性纠纷,休息日加班后安排补休的合规性、法定节假日加班能否以补休替代、调休安排的合理性与劳动者同意
法定节假日加班工资纠纷,法定节假日加班事实认定纠纷,值班与加班的性质区分纠纷
法定节假日加班工资纠纷,法定节假日加班事实认定纠纷,考勤记录缺失或矛盾时的加班事实认定纠纷
法定节假日加班工资纠纷,法定节假日加班事实认定纠纷,用人单位安排工作但未打卡记录的加班认定纠纷
法定节假日加班工资纠纷,加班工资计算基数争议纠纷,以基本工资为基数计算是否合法纠纷
法定节假日加班工资纠纷,加班工资计算基数争议纠纷,劳动合同约定基数低于实际工资的效力纠纷
法定节假日加班工资纠纷,加班工资计算基数争议纠纷,奖金、津贴、补贴是否计入加班费基数纠纷
法定节假日加班工资纠纷,以补休替代法定节假日加班工资纠纷,安排补休后拒绝支付加班费纠纷
法定节假日加班工资纠纷,以补休替代法定节假日加班工资纠纷,补休安排未经劳动者同意纠纷
法定节假日加班工资纠纷,综合工时制下法定节假日加班认定纠纷,综合工时制周期内遇法定节假日工作是否算加班纠纷
法定节假日加班工资纠纷,综合工时制下法定节假日加班认定纠纷,综合工时制审批合法性影响加班费计算纠纷
履行/变更劳动合同纠纷,单方调岗合理性认定纠纷,因生产经营需要进行的组织架构调整引发的调岗纠纷
履行/变更劳动合同纠纷,单方调岗合理性认定纠纷,因劳动者不胜任工作引发的调岗纠纷
履行/变更劳动合同纠纷,单方调岗合理性认定纠纷,因劳动者医疗期满或工伤后不能从事原工作引发的调岗纠纷
履行/变更劳动合同纠纷,单方调岗合理性认定纠纷,因女职工“三期”等特殊保护引发的调岗纠纷
履行/变更劳动合同纠纷,单方调岗合理性认定纠纷,带有惩罚性、侮辱性或显著不利变更的调岗纠纷
履行/变更劳动合同纠纷,工作地点重大变更纠纷,本市范围内跨行政区（如宿城区调至沭阳县）变更的合理性认定纠纷
履行/变更劳动合同纠纷,工作地点重大变更纠纷,变更至外省市引发的解除与补偿纠纷
履行/变更劳动合同纠纷,工作地点重大变更纠纷,劳动合同约定宽泛工作地点（如“宿迁市”）的解释与适用纠纷
履行/变更劳动合同纠纷,薪酬调整（降薪）合法性纠纷,因岗位变动伴随的薪酬调整纠纷
履行/变更劳动合同纠纷,薪酬调整（降薪）合法性纠纷,因绩效考核不合格进行的降薪纠纷
履行/变更劳动合同纠纷,薪酬调整（降薪）合法性纠纷,企业经营困难单方普降薪酬纠纷
履行/变更劳动合同纠纷,岗位晋升/降级程序与效力纠纷,未按规章制度程序进行的单方降职降级纠纷
履行/变更劳动合同纠纷,岗位晋升/降级程序与效力纠纷,晋升承诺未兑现引发的争议纠纷
履行/变更劳动合同纠纷,变更劳动合同形式要件纠纷,未采用书面形式但已实际履行的变更效力纠纷
履行/变更劳动合同纠纷,变更劳动合同形式要件纠纷,利用胁迫、欺诈手段迫使劳动者签订变更协议纠纷
协商解除劳动合同纠纷,就解除合意真实性产生的纠纷,主张存在欺诈、胁迫、重大误解
协商解除劳动合同纠纷,就解除合意真实性产生的纠纷,主张协议显失公平
协商解除劳动合同纠纷,就经济补偿/赔偿金支付产生的纠纷,约定补偿金额低于法定标准
协商解除劳动合同纠纷,就经济补偿/赔偿金支付产生的纠纷,未按约定支付补偿金
协商解除劳动合同纠纷,就经济补偿/赔偿金支付产生的纠纷,补偿金性质约定不明（经济补偿金 vs. 赔偿金）
协商解除劳动合同纠纷,就协议附加条款履行产生的纠纷,竞业限制补偿金支付
协商解除劳动合同纠纷,就协议附加条款履行产生的纠纷,保密义务履行
协商解除劳动合同纠纷,就协议附加条款履行产生的纠纷,工作交接、离职证明出具
协商解除劳动合同纠纷,就协商解除后反悔产生的纠纷,用人单位反悔
协商解除劳动合同纠纷,就协商解除后反悔产生的纠纷,劳动者反悔
劳动者单方解除劳动合同纠纷,劳动者预告解除（提前三十日/试用期提前三日通知）纠纷,通知形式与效力争议
